date,value
2011-01-01,6.1214585
2011-01-02,6.0259094
2011-01-03,6.0020614
2011-01-04,6.0006046
2011-01-05,6.000903
2011-01-06,6.005234
2011-01-07,6.0246973
2011-01-08,5.990604
2011-01-09,5.9958854
2011-01-10,5.9820137
2011-01-11,5.9747686
2011-01-12,5.9838667
2011-01-13,5.984772
2011-01-14,6.021628
2011-01-15,6.0231943
2011-01-16,6.014181
2011-01-17,6.0021915
2011-01-18,5.982533
2011-01-19,5.996222
2011-01-20,5.9951544
2011-01-21,6.0182076
2011-01-22,6.0351396
2011-01-23,6.009705
2011-01-24,5.987205
2011-01-25,5.9915185
2011-01-26,5.9886746
2011-01-27,5.989287
2011-01-28,6.0143447
2011-01-29,6.025064
2011-01-30,6.004764
2011-01-31,5.9938636
2011-02-01,5.9907465
2011-02-02,5.985436
2011-02-03,5.9917626
2011-02-04,6.023381
2011-02-05,6.0263824
2011-02-06,6.0209427
2011-02-07,5.9997497
2011-02-08,5.9969006
2011-02-09,6.0053043
2011-02-10,6.002564
2011-02-11,6.0401115
2011-02-12,6.039746
2011-02-13,6.054187
2011-02-14,6.1360984
2011-02-15,6.008853
2011-02-16,5.997487
2011-02-17,5.9974756
2011-02-18,6.014641
2011-02-19,6.0101733
2011-02-20,6.000643
2011-02-21,5.9855084
2011-02-22,5.981759
2011-02-23,5.9953732
2011-02-24,5.9951806
2011-02-25,6.0162234
2011-02-26,6.0179243
2011-02-27,6.0167923
2011-02-28,6.003738
2011-03-01,6.030434
2011-03-02,6.0004525
2011-03-03,6.0028877
2011-03-04,6.027295
2011-03-05,6.0236993
2011-03-06,6.012529
2011-03-07,6.0060472
2011-03-08,6.0135703
2011-03-09,5.990976
2011-03-10,5.9892745
2011-03-11,5.930006
2011-03-12,5.995094
2011-03-13,5.9811664
2011-03-14,5.984355
2011-03-15,5.978898
2011-03-16,5.9852886
2011-03-17,6.0123453
2011-03-18,6.026969
2011-03-19,6.0209227
2011-03-20,6.001478
2011-03-21,6.0011473
2011-03-22,5.9973803
2011-03-23,5.9955487
2011-03-24,5.997229
2011-03-25,6.028411
2011-03-26,6.0165915
2011-03-27,6.000148
2011-03-28,5.9949703
2011-03-29,5.985364
2011-03-30,5.9968634
2011-03-31,6.0012774
2011-04-01,6.011079
2011-04-02,6.026425
2011-04-03,6.0203333
2011-04-04,6.001251
2011-04-05,5.996162
2011-04-06,6.0012846
2011-04-07,5.9782286
