date,value
2014-01-01,5.875
2014-02-01,6.123
2014-03-01,6.185
2014-04-01,5.515
2014-05-01,6.953
2014-06-01,6.597
2013-12-01,5.547
2014-01-02,5.500
2014-02-02,5.701
2014-03-02,6.085
2014-04-02,6.047
2014-05-02,-1.000
2014-06-02,6.160
2013-12-02,6.284
2014-01-03,4.830
2014-02-03,6.771
2014-03-03,6.526
2014-04-03,6.492
2014-05-03,6.160
2014-06-03,6.465
2013-12-03,-1.000
2014-01-04,5.896
2014-02-04,6.884
2014-03-04,5.936
2014-04-04,6.600
2014-05-04,6.464
2014-06-04,6.463
2013-12-04,5.932
2014-01-05,6.279
2014-02-05,6.719
2014-03-05,6.287
2014-04-05,6.387
2014-05-05,6.240
2014-06-05,6.782
2013-12-05,5.701
2014-01-06,5.989
2014-02-06,6.491
2014-03-06,6.511
2014-04-06,6.920
2014-05-06,6.232
2014-06-06,6.888
2013-12-06,6.072
2014-01-07,6.574
2014-02-07,-1.000
2014-03-07,6.691
2014-04-07,6.228
2014-05-07,6.088
2014-06-07,6.900
2013-12-07,5.767
2014-01-08,6.275
2014-02-08,6.033
2014-03-08,5.301
2014-04-08,5.418
2014-05-08,6.578
2014-06-08,6.781
2013-12-08,4.000
2014-01-09,5.959
2014-02-09,6.570
2014-03-09,6.019
2014-04-09,6.111
2014-05-09,6.643
2014-06-09,6.644
2013-12-09,5.427
2014-01-10,6.253
2014-02-10,6.353
2014-03-10,6.422
2014-04-10,5.880
2014-05-10,6.049
2014-06-10,6.318
2013-12-10,5.816
2014-01-11,6.378
2014-02-11,6.160
2014-03-11,6.535
2014-04-11,6.469
2014-05-11,6.349
2014-06-11,6.430
2013-12-11,6.611
2014-01-12,6.036
2014-02-12,6.010
2014-03-12,6.218
2014-04-12,5.912
2014-05-12,6.789
2014-06-12,6.620
2013-12-12,7.085
2014-01-13,5.969
2014-02-13,6.017
2014-03-13,6.392
2014-04-13,6.236
2014-05-13,5.439
2014-06-13,6.126
2013-12-13,-1.000
2014-01-14,6.015
2014-02-14,6.828
2014-03-14,6.123
2014-04-14,6.820
2014-05-14,5.339
2014-06-14,5.875
2013-12-14,5.875
2014-01-15,5.798
2014-02-15,5.701
2014-03-15,3.793
2014-04-15,6.324
2014-05-15,6.585
2014-06-15,6.088
2013-12-15,6.068
2014-01-16,5.726
2014-02-16,5.839
2014-03-16,6.886
2014-04-16,6.433
2014-05-16,6.378
2014-06-16,6.125
2013-12-16,6.799
2014-01-17,5.805
2014-02-17,6.933
2014-03-17,6.539
2014-04-17,6.232
2014-05-17,6.630
2014-06-17,7.419
2013-12-17,5.745
2014-01-18,5.820
2014-02-18,5.711
2014-03-18,6.535
2014-04-18,6.051
2014-05-18,6.639
2014-06-18,6.200
2013-12-18,6.205
2014-01-19,5.689
2014-02-19,5.912
2014-03-19,5.400
2014-04-19,6.265
2014-05-19,6.734
2014-06-19,6.561
2013-12-19,6.203
2014-01-20,5.914
2014-02-20,6.450
2014-03-20,5.963
2014-04-20,6.818
2014-05-20,7.960
2014-06-20,6.340
2013-12-20,6.332
2014-01-21,6.114
2014-02-21,-1.000
2014-03-21,5.771
2014-04-21,6.015
2014-05-21,6.850
2014-06-21,5.701
2013-12-21,6.240
2014-01-22,5.764
2014-02-22,6.088
2014-03-22,5.528
2014-04-22,6.773
2014-05-22,6.165
2014-06-22,5.706
2013-12-22,7.380
2014-01-23,5.827
2014-02-23,5.701
2014-03-23,5.388
2014-04-23,6.935
2014-05-23,6.945
2014-06-23,6.717
2013-12-23,6.512
2014-01-24,6.043
2014-02-24,7.635
2014-03-24,6.844
2014-04-24,6.083
2014-05-24,6.274
2014-06-24,6.598
2013-12-24,6.357
2014-01-25,5.333
2014-02-25,6.044
2014-03-25,5.437
2014-04-25,6.180
2014-05-25,7.168
2014-06-25,5.724
2013-12-25,5.889
2014-01-26,6.301
2014-02-26,7.363
2014-03-26,5.701
2014-04-26,5.593
2014-05-26,5.725
2013-12-26,3.480
2014-01-27,-1.000
2014-02-27,6.462
2014-03-27,5.390
2014-04-27,6.373
2014-05-27,6.701
2013-12-27,6.580
2014-01-28,5.776
2014-02-28,6.138
2014-03-28,6.123
2014-04-28,6.478
2014-05-28,6.618
2013-12-28,6.580
2014-01-29,6.713
2014-03-29,5.827
2014-04-29,6.021
2014-05-29,6.314
2013-12-29,6.231
2014-01-30,6.515
2014-03-30,6.123
2014-04-30,6.354
2014-05-30,6.508
2013-12-30,6.200
2014-01-31,6.644
2014-03-31,5.410
2014-05-31,6.373
2013-12-31,5.786
