1853 1854 1855 1856 1857 1858 1859 1860 1861 1862 1863 1864 1865 1866 1867 1868 1869 1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 96.206584 97.780139 -9999.000000 -9999.000000 101.899116 95.316897 100.210252 96.929673 96.565683 97.690236 96.804377 97.138742 98.591680 96.384119 97.803258 94.214001 93.252740 95.851846 97.022716 94.298120 91.954361 96.764719 95.000926 92.756937 96.022760 96.889066 98.167558 95.963389 101.014729 94.318869 97.115904 98.069140 93.081961 93.493784 96.203167 93.831376 96.592514 98.571739 96.619675 94.716855 100.081009 98.263093 97.646510 100.041943 95.566540 96.218805 97.271584 94.089842 96.330688 95.061657 97.818017 98.812252 99.150077 96.659535 99.149884 97.765905 95.294716 96.319214 94.623593 98.744908 96.141414 93.244837 93.522070 91.910301 96.691559 92.685966 91.192948 94.000000 90.660629 94.809699 92.380463 93.934982 98.117172 -9999.000000 99.319582 92.697049 94.811628 92.322699 91.998518 98.279854 95.599115 99.616387 94.296731 95.821362 98.041624 98.649001 94.672650
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 93.359384 90.500181 92.316190 94.995822 94.484963 91.770802 98.040335 99.427933 91.727615 92.808925 89.262707 -9999.000000 97.813440 94.644748 95.206284 97.293955 93.944449 92.524718 93.796869 94.632989 94.329925 91.837256 92.451643 94.585457 93.832873 95.337955 97.973053 93.008085 92.269643 95.160933 93.148515 93.110820 93.749312 95.587747 96.524720 94.447503 96.915981 92.061475 93.979460 94.319439 91.423565 92.397658 93.826720 90.739003 94.193087 94.299546 94.212962 90.701689 93.132099 92.283442 92.637397 94.766146 93.887902 92.113360 93.396125 92.609083 92.705237 91.449493 91.584288 94.082971 93.971819 92.195019 96.446252 94.498146 91.888684 94.110216 92.408421 91.296077 95.941934 92.115993 90.844263 91.570196 92.892348 92.777439 93.798762 92.694122 89.881055 94.202446 93.099052 92.845423 96.559307 94.573961 98.252447 90.824804 92.656134 91.356508 92.921674 93.853224 95.378297 96.795105 93.567007 97.747708 96.733253 96.424844 94.014619
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 92.596267 94.568796 96.391655 91.400553 95.627722 94.101022 94.702507 92.831106 98.581239 93.495236 92.391351 96.752901 91.695866 90.971944 93.522664 89.911657 92.592740 91.916309 95.738295 99.852457 95.376003 92.368048 100.128692 100.356828 93.348831 97.946893 93.774569 95.752989 98.336212 96.363367 95.676075 94.053481 96.925175 93.492511 94.054554 96.829814 89.737921 95.311848 93.384148 90.854848 96.460186 97.742746 98.168810 93.676695 92.688371 91.311573 93.447153 96.972121 98.830393 101.618228 96.848282 -9999.000000 99.205302 97.459048 99.210906
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 90.321461 93.389860 95.058724 92.056555 95.658536 96.343017 93.694016 94.033182 92.555569 97.905630 98.761961 93.328811 93.202086 92.849840 92.700588 94.990965 94.385052 93.561249 90.789175 96.313620 93.759251 94.035874 99.592327 96.352560 91.020198 95.097459 91.918274 89.750025 90.329662 95.653400 92.370305 90.190254 95.599021 99.936983 92.197091 94.537290 91.647976 92.218677 97.034309 98.563079 95.481173 95.446772 97.031579 100.233437 99.521825 97.589780 99.513315 92.918876 -9999.000000 94.738688 96.478717 100.460026 98.949009 97.750560 93.199375 98.546035 97.061092 96.064468 94.636130 101.182019 101.771565 96.211480 102.324695 95.907484 100.725659 95.841031 94.112521 94.626942 96.503515 92.100388 98.394658 94.671214 -9999.000000 -9999.000000 -9999.000000 -9999.000000 95.957589 98.956388 94.666023 91.931113 95.545640 92.940778 94.554336 92.839883 96.424754 99.365071 97.106454 93.504714 103.376965 100.149663 93.928691 97.972518 94.890887 96.482157 98.719876 98.683075 98.188379 96.383260 98.527477 95.673746 95.889905 99.378884 93.237725 98.239389 95.747352 95.118294 98.449282 -9999.000000 101.219722 93.989202 -9999.000000 93.079873 -9999.000000 -9999.000000 98.558809 104.086496 97.618287 -9999.000000 95.697170 97.477556 -9999.000000
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 92.022811 91.271938 90.676102 93.661731 95.994807 91.084700 90.782378 92.550322 93.961514 98.411397 91.510705 91.233817 93.310644 94.679624 94.987878 94.923034 93.942007 91.490064 95.205531 93.720455 95.130617 99.846549 94.211613 91.476506 92.470233 93.202942 90.208701 91.900435 94.649955 93.631844 88.327988 94.208570 97.147731 91.902184 94.126966 91.947655 91.343594 98.257756 96.047042 94.257664 92.907789 99.302087 96.298778 99.164699 95.574628 97.233267 95.574998 94.954142 96.676958 95.112524 95.996203 96.232162 95.712152 92.436091 93.429639 93.396144 90.914254 93.934081 96.311092 98.502598 93.226978 99.725634 92.192905 95.226029 94.447549 90.968543 93.000000 92.164356 91.524467 93.871253 97.615859 96.975274 92.518075 98.853782 93.094550 96.438313 98.569364 94.350083 92.980090 94.951163 92.410934 92.400146 93.491959 94.745066 96.347949 96.498449 92.356549 100.167220 96.266981 92.826034 95.657902 93.508329 97.061528 97.322273 97.431383 -9999.000000 95.101403 96.099005 92.947846 93.096989 95.725235 89.487092 94.760771 91.858212 92.786595 95.077404 94.402431 99.201228 89.511052 92.875522 90.870855 93.436261 91.761807 94.513457 100.945096 93.158843 93.506458 97.418934 97.365204 -9999.000000
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 94.167247 95.034482 98.408435 95.498285 94.210629 90.678565 97.705164 95.087114 91.533746 91.763894 97.561688 100.991449 95.634512 99.123217 93.494688 96.370823 91.890088 91.822475 92.467086 95.912560 91.182712 95.256905 94.797231 94.515356 92.410436 97.076041 93.198149 95.351103 98.063845 95.836056 94.501754 90.710433 92.748616 92.508940 91.120639 90.938285 97.063312 95.790269 88.402638 102.750151 93.209340 91.246044 97.015450 94.022264 94.130076 98.174869 98.339139 97.076963 92.987553 97.589149 95.924408 91.535678 99.044180 90.646088 -9999.000000 -9999.000000 -9999.000000 95.251240 97.555333 95.690829 89.580724 92.917947 90.891864 89.551610 96.147447 98.211433 102.844173 97.251729 95.325249 98.486131 96.739876 103.409661
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 93.953103 93.071335 90.407231 94.527661 94.157235 96.894234 99.204143 95.425352 92.606723 94.081853 97.482661 92.716410 91.474770 99.410261 94.484163 91.540000 96.010970 102.482883 94.729128 96.225843 91.446936 93.477341 100.053734 97.855714 94.305008 93.694726 94.249643 98.214809 96.902402 94.656905 94.755739 93.113693 94.621838 91.909416 95.253953 98.089655 94.667005 94.411821 90.487241 98.936149 94.984701 92.339302 90.717887 96.485047 103.808086 97.281127 99.521608 93.544050 96.734733 94.005160 90.579917 94.017096 93.712395 90.899258 95.268264 91.069402 -9999.000000 89.998022 95.366233 89.370577 90.724160 92.501004 91.280118 90.229948 92.649225 91.840323 91.684933 91.061030 92.929058 98.531447 96.244334 90.753126 102.567023 96.915485 92.624004 96.811796 92.023636 93.511217 97.059275 95.800963 93.446488 91.637215 97.965603 94.671359 91.462601 98.269316 88.993504 95.737656 92.968474 93.001421 96.031692 97.899945 98.271427 94.354993 94.906114 94.189795 90.389505 94.571131 99.540175 103.599000 94.047269 94.322183 98.635854 93.058380 97.206517
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 90.024449 -9999.000000 94.297208 92.077015 98.426790 102.804881 93.808024 95.148069 93.249434 95.159668 96.788244 94.346106 90.179377 88.787491 88.619380 92.314308 92.156085 91.440501 88.147613 91.675113 90.828765 94.143586 97.537360 94.612782 89.661625 88.902504 92.613101 90.119797 87.985599 96.287487 90.194370 89.268657 96.483236 -9999.000000 94.877103 95.295714 93.478713 -9999.000000 -9999.000000 -9999.000000 96.742080 94.898545 96.589111 -9999.000000 98.262264 95.409551 90.711101 91.646882 93.295754 95.603395 94.426264 98.759998 98.169357 94.618380 91.162622 97.466379 96.316330 93.480978 91.959691 96.300273 102.324999 95.648461 99.433258 94.403712 98.001107 96.262861 92.945898 93.624589 94.874589 92.159574 93.283616 91.642470 93.645596 91.973224 96.214846 -9999.000000 96.221320 94.749852 93.703281 90.436886 91.812314 91.839660 92.200949 91.350451 92.092332 96.934185 -9999.000000 88.815298 102.282335 96.372280 91.496704 99.891808 -9999.000000 -9999.000000 -9999.000000 97.354367 97.307654 91.575820 94.891030 93.567794 91.628536 97.213445 90.831813 95.472725 92.882127 92.564839 94.796531 95.143032 95.009258 89.210513 95.511324 92.300759 91.089123 94.666125 98.798653 101.073154 94.385282 95.068491 96.403720 95.088438 98.045335
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 99.245179 97.173914 98.264939 96.292765 98.798106 101.462561 94.295485 97.151285 95.751516 96.791944 98.308853 98.437349 97.697776 92.843735 98.573074 97.683522 98.833142 100.201676 98.600761 92.962070 97.232474 93.621822 93.311446 95.124299 98.194025 97.547930 94.280856 97.009136 98.480280 92.737015 97.337958 95.704897 94.020615 98.992603 97.713931 98.640802 96.537570 95.482719 98.538562 99.887489 97.091511 99.141952 94.399116 95.576963 93.427980 94.255150 96.448321 96.160843 93.365530 89.764242 94.268108 93.068041 91.196215 95.757623 101.214981 101.143234 96.918803 102.066482 95.453153 97.605679 96.737107 93.531691 96.530470 95.726828 93.595145 97.721036 97.114013 95.926346 93.146336 98.041976 94.476561 96.550490 100.111141 95.189427 94.202414 95.872812 94.330618 93.082029 94.156789 93.357293 96.773770 97.896882 94.534218 99.429836 98.107959 94.976283 98.048822 94.651339 97.925995 96.963909 97.732632 96.808573 95.447310 97.954569 95.122829 94.574500 95.958725 89.906107 97.327462 93.998461 92.842820 96.496406 98.064748 99.807387 94.162517 93.912926 92.026116 93.271635 93.951140 98.359244 101.965704 93.887097 97.348031 97.671181 97.620347 97.530068
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 95.227237 97.048895 -9999.000000 96.876388 101.632346 96.485218 95.240521 94.991907 94.288149 96.654830 97.940702 92.850828 -9999.000000 -9999.000000 92.173605 96.648111 101.965925 97.710783 92.731799 93.215679 94.002104 93.519772 91.739732 97.328199 96.005484 92.885854 93.940922 103.714091 97.114536 -9999.000000 96.465540 96.790125 103.685577 100.826345 95.966271 96.836652 -9999.000000 98.924203 97.859819 97.062718 98.369455 96.840986 97.622144 95.186696 98.497786 100.564567 97.788308 96.890943 96.132857 96.309464 93.857162 95.254996 92.255566 98.177977 102.392142 94.994618 98.656583 94.542998 98.550422 96.885595 94.144899 95.966918 95.153424 90.655792 93.533953 92.654996 94.790671 89.653781 94.474267 90.517760 93.036794 94.060493 91.634562 91.815276 93.758737 91.329780 92.624807 93.860716 93.337661 98.653680 95.281580 93.142746 102.608995 97.316598 91.726684 -9999.000000 93.299084 94.212519 96.358173 95.496398 96.888795 91.987327 98.011084 92.604884 91.762651 99.183109 -9999.000000 97.607930 92.358926 91.057092 95.766067 96.483856 97.472189 90.396763 93.733463 92.130120 90.482765 93.741625 97.017281 101.384750 93.116733 93.928593 98.333569 96.630378 98.636133
