1853 1854 1855 1856 1857 1858 1859 1860 1861 1862 1863 1864 1865 1866 1867 1868 1869 1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 30.077574 26.606714 -9999.000000 -9999.000000 29.935048 28.960435 29.930671 32.190510 27.092796 26.627963 33.615702 27.246595 27.522596 19.560963 32.151875 23.485928 28.983168 27.756029 28.560682 28.564758 27.718212 27.333136 35.119370 34.202690 25.742196 34.366454 29.559795 32.465865 28.730066 28.788115 27.884516 23.331838 26.817239 27.498786 26.473585 22.308279 23.732519 25.226986 31.016648 23.166881 30.645956 25.824357 26.873191 22.113165 27.414849 31.771336 29.826796 31.476099 26.914569 27.908560 22.567830 26.838034 30.991546 24.711529 20.932209 25.259136 28.256470 22.693452 22.790293 26.668552 30.227327 27.244879 29.724981 28.742908 31.009626 24.485926 26.710566 26.136730 28.982040 25.782679 24.929922 30.894896 28.551847 -9999.000000 19.852558 24.625263 24.358671 28.456234 27.060377 39.000876 28.432409 34.514921 25.838939 19.758318 26.931988 36.571524
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 29.359103 34.403934 35.273825 39.706299 34.490742 30.308487 34.150024 29.417642 31.750447 30.093740 -9999.000000 25.891913 31.770011 33.106980 -9999.000000 -9999.000000 32.726423 28.105726 39.121085 30.602452 32.166301 20.910549 35.960568 28.082062 33.668590 31.178057 30.181872 32.647082 32.528220 28.579816 41.665488 34.807553 28.982242 39.482835 36.803795 37.176758 34.422669 34.286991 36.216206 27.281549 33.560275 33.395011 33.428720 26.849471 29.196749 29.011657 35.785301 27.264657 36.529100 33.499734 33.711908 28.353318 32.930109 37.570014 33.512535 35.440177 35.266329 34.019228 26.470446 28.704067 30.875726 31.128442 26.927897 24.768006 32.959894 23.939357 24.039753 27.277356 34.968067 30.539433 36.253981 24.949834 38.270019 30.291690 37.371489 29.919515 33.173351 29.901240 30.477465 37.257404 31.916884 32.963444 25.868205 29.771728 31.768075 34.809420 31.842074 34.976556 32.092367 34.330663 28.675238 20.804771 28.380602 37.323529
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 19.387719 23.697425 24.655526 21.840884 16.523000 17.977310 20.697248 24.995237 18.635956 27.676628 25.016375 23.810495 19.175889 23.410927 28.485984 27.361750 28.130371 29.261776 23.202332 16.637542 24.275933 24.140867 26.055965 21.156260 17.920989 27.545535 15.851013 16.954079 19.295555 26.178967 19.776344 29.554102 16.215750 30.320525 25.938197 30.823018 22.007224 27.701040 22.856798 23.077644 30.322163 24.831740 24.049063 19.604766 24.526452 22.221767 28.575648 25.103324 27.224343 25.805022 27.965859 24.425452 17.394951 25.144474 30.273208
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 20.805834 31.448946 19.107371 27.065910 20.204340 28.172723 17.136456 24.888644 30.288717 17.953832 28.939546 28.671325 25.441442 30.003149 31.335595 34.638481 33.508096 28.617282 33.140992 25.989711 33.189019 32.943371 29.663132 28.720958 26.986274 21.565055 24.081216 28.009010 33.217627 37.069721 30.440591 27.767974 28.773738 25.285478 29.110706 27.524339 32.406129 24.649964 33.020585 29.713995 28.539047 32.846726 26.908735 23.564797 35.776268 24.578758 29.008569 14.519288 30.326540 19.918638 28.184170 26.032990 27.424263 26.549116 24.185683 25.439937 34.438022 36.653673 24.262952 31.475760 31.458653 31.025901 30.782651 28.502968 28.894202 18.964736 26.699763 27.426987 26.044590 19.769575 20.854390 22.128552 -9999.000000 -9999.000000 29.900358 -9999.000000 25.968807 19.679200 26.050212 32.578414 28.282272 28.543969 29.622615 27.976892 20.566819 24.799580 25.288814 27.152552 18.122289 19.987236 28.461236 18.525801 19.328127 24.876693 29.708705 25.860697 31.455827 17.613875 30.269782 22.394805 32.602557 28.207874 32.466970 24.455091 23.752619 32.852128 27.147291 28.753131 23.166130 26.681518 25.540508 30.938137 29.060830 32.090749 28.881841 32.303403 28.283973 -9999.000000 25.115873 35.753333
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 24.816006 34.331876 23.650326 30.653632 26.481335 32.688989 20.777556 28.751583 31.094236 22.097460 31.340577 31.475748 28.042573 33.984174 32.426308 33.912732 35.041202 28.534233 33.266820 27.207637 36.216365 32.389952 30.866558 36.081763 28.677584 25.921108 28.854884 30.011526 35.040873 39.082080 32.356287 31.563555 34.242940 28.623222 29.668248 27.595951 34.923465 28.483170 33.435085 30.085176 32.127086 35.252805 30.234844 27.039001 35.609026 27.182246 35.171911 17.957220 33.847220 24.391850 31.032294 32.896853 34.440788 27.356358 28.231162 25.952288 34.885973 39.035567 28.290037 34.341067 -9999.000000 33.596977 30.407554 30.671875 32.968129 20.673652 30.766101 -9999.000000 27.599152 21.316048 23.845185 23.207633 27.944668 19.075677 29.034261 26.586007 26.590910 18.294249 24.276242 31.339695 28.843736 29.235765 30.591360 25.803694 17.882449 24.303370 25.029834 24.321210 19.538049 18.887436 27.343659 17.453746 17.391328 22.762894 23.843398 -9999.000000 32.055247 21.943420 33.358606 27.607817 33.586933 24.178812 27.685308 24.813461 26.168251 32.204962 23.532258 27.754017 22.140050 23.843856 23.885543 27.771234 23.101996 26.184910 24.932986 28.393016 21.942720 16.144063 22.069751 27.876342
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 14.460338 24.092362 22.808777 25.786204 22.335777 20.934031 18.966084 27.714569 33.154398 18.153725 24.180092 30.660828 26.101675 25.377076 25.677167 26.789119 12.374230 23.208805 24.091349 17.599143 13.067458 13.240395 17.515585 19.647021 14.385509 24.950333 23.043730 22.738019 17.623112 21.585730 27.167200 21.972177 28.821424 27.208286 20.081387 13.434667 20.334366 20.821210 22.671890 19.328133 12.808273 25.520676 14.105874 13.808783 19.756753 24.578960 18.484143 28.120085 11.175377 28.788175 26.015884 29.157113 18.070615 25.589028 -9999.000000 -9999.000000 30.729589 25.047738 24.800258 19.555453 22.581723 20.610836 27.736560 23.954654 25.937098 22.872000 25.366416 21.638180 14.918382 21.157077 31.395710
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 24.997960 19.521788 23.995790 18.013874 27.071982 26.786595 20.253095 23.969335 19.594414 14.511855 17.152771 23.373424 27.861722 31.498866 23.724766 21.643266 23.299412 21.291174 22.456493 16.445177 24.602160 18.998697 25.392861 23.352782 22.535394 26.054832 22.342386 13.458446 27.917773 18.959537 23.915770 4.700806 26.368007 15.136582 24.694740 19.274020 24.083150 20.773707 20.487584 19.289868 -9999.000000 27.914126 16.167010 21.315503 24.895422 21.510827 20.569245 21.125061 19.702542 8.070805 18.732899 19.609597 16.427486 12.937895 11.485879 -9999.000000 -9999.000000 10.839373 21.362653 21.289911 19.371876 13.972528 18.549665 23.333087 20.285041 22.520103 21.366526 18.095869 13.977160 21.015756 21.155463 17.989617 17.932367 13.289228 17.556392 6.108627 13.238061 19.393454 22.480128 15.034490 24.236123 12.105055 28.231800 19.780736 23.582677 17.016133 20.866050 19.350553 15.434496 22.469463 18.053391 20.100110 16.653322 -9999.000000 17.673179 22.992161 22.832396 22.303709 -9999.000000 23.367612 14.544955 10.640042 20.362708 29.548193
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 13.820851 21.063837 13.135938 19.149389 8.689760 11.735525 23.151666 10.851716 21.226931 -9999.000000 18.849581 24.167443 26.521147 25.872279 25.082345 18.941032 23.513291 17.840178 24.354482 27.794710 22.855041 27.538835 18.260216 15.430235 11.888463 22.577641 27.637510 33.483632 24.317332 18.463334 -9999.000000 -9999.000000 19.041641 16.944420 22.731928 -9999.000000 -9999.000000 26.233130 23.895168 26.350162 25.235402 -9999.000000 29.393626 18.518574 24.043217 6.120813 25.460254 13.844843 24.083987 21.183359 23.442591 20.249532 20.817215 21.340801 29.213015 30.048743 20.229506 25.975005 27.677718 24.966372 24.251707 24.069479 25.248387 10.042015 20.041366 21.115413 16.724998 14.128398 9.655999 13.408800 14.773210 9.994018 -9999.000000 -9999.000000 15.612545 12.595283 19.253018 25.602956 21.352892 26.129213 24.216738 18.613402 9.808575 18.640953 -9999.000000 19.607121 13.883155 24.266592 25.369995 -9999.000000 -9999.000000 -9999.000000 17.560826 21.310164 25.722613 10.624274 23.498116 20.537254 23.405893 12.883820 19.199325 17.375875 17.317913 26.044122 21.736820 21.931326 17.785328 21.201710 17.187496 24.692365 22.546901 23.662872 19.092386 22.593091 18.261842 13.370743 20.331744 28.281975
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 29.652522 16.390424 24.741546 29.464849 19.389531 26.988351 27.535671 25.418861 30.376021 29.095229 28.775307 25.843374 -9999.000000 27.396589 24.395816 32.171442 31.201913 27.568764 29.982197 23.064055 23.078449 -9999.000000 28.901978 33.073678 39.571307 33.407478 30.891796 34.156871 28.597341 30.957464 27.213942 33.926062 28.302440 33.536461 33.188613 32.623158 35.195401 29.728114 26.144497 35.740911 27.088693 28.392022 18.654646 32.531095 24.456172 31.845331 27.708719 29.249635 28.364291 28.544032 26.817574 34.406547 36.965274 25.809644 33.942249 32.566117 32.966084 30.832948 30.707196 30.931651 22.039709 29.109372 30.129769 28.317647 24.067712 25.138329 26.722461 31.459469 23.166018 33.824818 30.958616 28.182589 23.040944 27.245421 34.470393 31.710519 32.411137 32.966034 29.531362 24.427758 27.627563 29.569068 29.078852 30.567285 24.671499 37.109528 20.096617 24.357900 24.355732 32.055165 28.212544 33.255302 19.634935 32.518402 27.638380 30.901605 24.146313 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 25.884480 30.123453 27.520364 31.094422 28.318321 30.421030 25.994572 18.947925 26.155260 33.341021
-9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 -9999.000000 16.324831 -9999.000000 27.447657 17.801061 26.242713 24.811123 20.525268 25.635835 28.280292 29.207903 25.110920 22.600767 -9999.000000 21.334086 26.988709 30.232833 25.232543 30.592296 23.774900 20.550658 23.077724 26.711497 30.305787 34.371070 27.428732 22.329068 28.996197 22.874200 25.524451 20.067600 30.570085 22.828039 28.642912 27.381138 27.203889 -9999.000000 25.391694 18.238650 31.447829 22.428081 29.485482 10.210237 27.748151 19.446143 26.797931 22.814725 25.291286 23.779378 23.181349 23.081422 29.951882 32.157789 22.206888 28.093345 26.845761 27.193470 24.681467 26.004741 25.305472 13.916805 22.775774 23.343967 21.696932 18.762099 18.459823 19.069226 22.241550 17.269645 26.678925 24.272052 23.907229 18.950819 24.629188 27.212352 25.116334 30.367705 24.965343 23.734623 12.186659 21.615319 22.658887 21.952676 -9999.000000 16.470534 25.585274 -9999.000000 14.621908 20.460342 25.460604 25.693648 26.095140 18.756129 27.580930 24.493671 29.315284 21.586019 -9999.000000 20.018470 21.547559 27.656651 23.582519 22.708076 15.973373 22.427574 19.347459 24.674638 21.857054 23.930546 21.639170 24.079704 20.383207 14.371637 22.390177 27.354446
