1853 1854 1855 1856 1857 1858 1859 1860 1861 1862 1863 1864 1865 1866 1867 1868 1869 1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 7 7 -9999 -9999 4 7 5 8 15 5 13 6 6 6 8 26 15 16 5 6 13 5 10 16 5 15 17 20 6 6 6 4 20 19 6 10 17 5 9 8 7 5 6 9 11 10 14 21 11 8 7 11 7 4 6 10 18 17 10 4 6 15 6 6 8 10 6 25 9 13 16 5 13 -9999 8 5 6 14 16 12 18 8 8 10 7 11 7
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 4 24 9 5 9 13 6 4 5 16 4 -9999 8 4 5 7 11 6 17 9 7 13 22 9 13 20 6 16 14 9 12 8 5 8 5 17 13 11 7 10 22 9 16 25 21 7 7 6 8 8 9 10 8 13 5 8 9 18 13 21 6 9 5 9 7 10 5 12 5 6 6 13 12 13 5 21 26 17 9 21 6 17 8 12 7 7 13 16 7 11 11 6 8 17 7
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 22 8 20 24 24 26 9 16 7 10 32 12 17 5 5 9 9 25 6 7 15 9 5 11 11 7 16 4 6 7 7 8 22 21 5 7 20 7 8 29 13 11 12 12 19 16 5 7 6 9 10 -9999 12 17 6
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 7 9 4 10 24 9 10 9 17 14 11 8 14 7 36 5 5 22 8 12 7 13 5 6 17 6 18 12 7 11 17 5 14 4 5 6 17 16 5 7 7 15 8 5 6 9 6 12 -9999 12 6 5 8 7 6 5 7 5 6 6 7 13 6 6 6 7 9 6 21 22 6 6 -9999 -9999 -9999 -9999 8 10 10 12 12 12 9 15 6 6 11 9 6 10 8 7 7 4 8 6 7 9 8 7 6 8 11 17 17 10 12 -9999 8 17 -9999 9 -9999 -9999 6 5 7 -9999 9 7 -9999
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 11 8 14 10 8 9 19 16 8 10 12 12 12 16 13 5 12 14 6 6 10 5 6 5 7 7 7 8 14 5 14 7 7 5 11 7 20 4 10 7 4 14 6 6 15 7 5 19 9 14 16 7 7 7 14 18 12 8 14 5 20 10 10 7 5 16 30 7 9 8 4 8 7 5 6 6 11 21 14 7 7 9 9 6 10 8 10 6 14 10 12 15 4 6 6 -9999 6 12 7 5 9 5 16 13 8 14 12 7 24 6 12 6 6 8 8 6 13 7 16 -9999
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 6 9 10 14 5 13 5 14 15 9 4 6 13 11 12 8 20 13 7 9 11 9 5 13 13 8 7 12 8 7 5 9 5 6 16 10 15 8 13 6 15 14 7 8 5 7 11 6 14 21 6 7 6 8 -9999 -9999 -9999 9 15 14 24 19 12 15 8 9 7 9 7 15 21 6
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 5 12 21 5 8 6 4 5 6 6 9 10 4 6 13 5 8 5 4 4 19 19 5 5 13 5 12 5 6 12 6 8 9 16 8 4 14 10 14 5 14 13 12 6 6 5 6 11 6 13 29 10 20 8 16 16 -9999 6 7 8 5 17 20 7 6 15 7 16 6 15 5 8 5 10 13 5 13 4 8 12 11 12 13 6 6 6 18 10 14 13 22 20 11 6 10 11 17 8 7 8 12 9 13 16 7
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 8 -9999 4 17 16 6 7 6 14 19 18 5 12 13 10 5 4 5 20 17 9 9 4 5 9 14 15 7 11 6 7 5 6 -9999 4 5 7 -9999 -9999 -9999 9 12 10 -9999 5 11 11 6 8 6 8 4 13 9 10 10 8 6 9 6 5 19 10 14 8 4 7 12 9 9 28 19 11 6 7 -9999 6 21 10 29 9 14 6 16 6 12 -9999 9 6 10 11 5 -9999 -9999 -9999 11 5 12 20 5 6 6 6 5 13 12 12 8 12 26 6 13 7 10 5 11 10 6 22 15 6
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 8 17 22 9 11 13 11 7 17 17 6 6 7 7 16 7 16 5 5 5 5 8 7 4 11 7 4 9 4 14 5 6 11 7 5 6 4 8 6 6 10 5 6 7 6 8 5 7 19 20 7 14 31 14 8 6 18 15 7 8 5 12 12 15 18 16 5 12 18 6 8 23 10 11 5 22 10 7 12 14 7 9 7 6 9 7 6 10 5 7 6 6 8 7 6 5 11 27 10 15 14 14 6 9 8 8 8 17 8 6 6 15 8 9 8 5
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 8 8 -9999 20 7 8 15 9 8 6 5 12 -9999 -9999 12 14 5 5 15 13 16 12 4 6 10 5 10 4 4 -9999 6 15 4 6 7 6 -9999 5 9 6 5 5 7 5 7 5 13 6 5 10 6 7 18 5 5 17 11 7 6 4 10 7 9 8 14 5 7 8 6 6 5 11 8 13 7 14 7 13 6 8 34 6 7 23 8 -9999 14 4 15 11 6 13 6 11 6 6 -9999 18 13 16 14 10 10 18 8 12 14 6 11 7 15 9 13 15 6
