1853 1854 1855 1856 1857 1858 1859 1860 1861 1862 1863 1864 1865 1866 1867 1868 1869 1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 213 214 215 214 214 214 214 214 213 170 170 170 206 192 171 171 172 171 171 173 171 150 150 169 169 170 195 197 200 200 201 200 200 199 197 198 200 199 222 224 225 224 224 224 224 223 198 199 199 199 197 196 195 196 196 209 208 209 208 209 208 206 205 205 205 206 178 178 177 177 174 179 177 203 200 200 200
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 181 196 184 183 181 184 186 186 181 184 213 175 215 155 214 214 214 214 213 214 170 170 205 215 171 170 171 171 171 172 171 170 168 169 167 169 195 197 199 200 202 200 199 199 197 198 199 198 222 224 224 224 193 223 223 223 197 198 198 199 197 196 196 196 196 197 207 208 208 209 208 206 205 204 205 206 179 179 179 178 176 180 179 205 201 200 200
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 209 200 200 198 197 198 199 198 194 224 192 192 193 193 224 197 196 197 198 198 198 196 195 196 197 210 208 209 208 208 208 205 205 179 204 205 179 191 179 179 177 180 179 179 199 198 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 183 184 185 212 185 212 213 213 212 214 231 173 192 217 223 222 222 220 196 194 194 197 197 197 198 198 196 196 188 188 177 187 188 188 186 187 214 214 214 214 213 213 213 213 213 214 170 213 205 215 171 171 171 171 171 172 171 170 168 168 168 169 192 203 201 201 201 200 200 198 196 197 198 196 225 225 191 192 192 193 223 195 196 197 198 198 197 195 194 195 195 196 207 208 208 209 208 205 204 177 203 177 178 178 178 178 178 180 180 180 198 198 198
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 184 185 185 185 186 213 231 231 233 175 175 177 218 221 221 177 220 196 194 190 197 197 197 197 198 196 196 188 180 177 176 188 176 176 184 175 175 215 214 214 214 214 214 213 214 214 193 204 192 193 171 171 171 171 171 170 169 167 168 168 168 195 199 199 200 201 200 199 198 196 196 199 198 195 225 225 193 193 194 224 223 197 197 197 199 198 197 196 197 197 208 206 207 207 208 206 204 205 205 206 206 179 207 178 178 176 180 210 208 206 202 201
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 191 191 171 171 171 171 171 171 170 216 168 168 207 193 206 202 200 202 201 200 198 197 197 198 197 193 192 191 191 192 192 222 195 195 196 197 197 196 195 195 195 195 196 207 208 207 208 207 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 178 178 178 178 205 202 200 201
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 219 220 197 195 196 197 197 197 197 197 196 196 188 187 178 186 188 187 181 213 214 214 214 214 213 214 214 213 213 214 169 192 213 171 171 171 171 171 171 172 171 171 170 170 170 170 192 207 207 203 206 213 202 199 197 198 199 198 195 194 192 193 193 193 223 222 195 196 198 199 197 195 194 195 196 196 206 208 206 208 206 204 204 178 205 204 178 178 179 178 178 179 178 208 206 205 210
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 211 211 213 213 213 213 212 212 214 216 174 218 218 219 221 221 220 167 195 167 197 167 197 197 197 196 196 188 189 -9999 -9999 -9999 -9999 -9999 214 215 215 161 161 213 214 213 213 190 191 169 192 171 215 171 170 171 171 171 172 171 152 152 169 191 191 191 195 197 195 207 195 207 195 195 195 198 195 193 194 193 193 194 196 224 197 196 197 198 199 -9999 -9999 -9999 -9999 -9999 -9999 209 209 209 209 208 205 205 178 205 219 178 179 178 178 176 178 178 207 206 201 202
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 215 215 230 231 216 219 175 179 178 221 221 221 221 195 194 192 197 168 197 196 197 196 196 188 184 178 177 177 176 177 175 175 175 214 214 214 214 214 213 213 170 169 170 205 204 171 171 172 171 172 173 172 170 167 169 169 169 191 205 202 201 202 202 200 199 196 198 199 198 222 223 224 192 223 223 223 222 196 222 197 196 196 194 194 194 196 209 208 208 206 178 179 204 177 177 -9999 -9999 -9999 -9999 -9999 -9999 176 178 178 206 203 200 201
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 180 229 177 175 175 219 219 219 220 220 219 220 197 197 197 197 197 197 197 196 196 189 189 178 176 189 189 176 214 214 214 214 214 213 214 213 213 213 213 170 170 171 216 171 171 172 171 172 173 172 171 151 170 169 169 191 191 202 202 202 202 202 199 196 198 199 198 195 223 224 193 193 223 223 222 197 198 199 200 198 197 196 197 197 208 207 208 208 209 208 205 205 177 204 205 178 178 178 178 176 179 178 206 200 200 200
