1853 1854 1855 1856 1857 1858 1859 1860 1861 1862 1863 1864 1865 1866 1867 1868 1869 1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 218 175 175 175 176 175 175 175 175 219 220 221 221 227 226 225 224 225 226 226 226 225 182 183 182 182 183 183 184 183 184 183 183 183 184 184 184 184 184 184 193 194 194 193 194 194 193 194 195 194 194 193 192 194 193 194 194 194 194 194 194 194 194 194 193 193
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 218 232 231 218 232 233 233 232 219 232 220 218 218 177 217 218 220 224 224 226 226 227 227 226 224 226 226 226 226 226 184 184 183 183 183 184 184 184 184 183 184 184 184 185 185 186 196 196 196 196 196 234 234 195 195 197 235 235 235 235 235 235 235 235 235 236 236 236 235 235 234 234 234 233
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 199 199 185 198 198 198 198 197 197 197 197 197 196 196 196 196 195 197 197 202 201 201 203 201 200 201 199 201 204 203 234 233 202 212 213 213
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 182 182 181 181 181 181 181 180 181 181 181 181 180 180 181 181 175 175 176 176 178 176 176 177 176 176 176 175 176 219 219 219 176 176 176 220 177 177 220 219 177 177 178 178 222 222 223 224 226 225 242 242 226 225 226 226 226 226 215 215 226 220 219 219 220 221 221 219 197 197 197 197 197 196 196 195 196 195 195 208 195 195 195 196 204 195 194 205 195 194 195 196 195 205 234 232 232 231 214 231 231
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 180 180 179 178 178 177 177 176 176 176 176 174 175 175 174 174 230 230 230 174 175 174 174 174 174 174 174 173 173 173 193 194 172 173 194 194 196 194 174 195 175 175 176 176 176 223 223 223 224 224 225 223 224 225 225 184 184 184 185 184 184 184 184 184 184 185 184 185 185 197 198 198 198 198 198 197 197 197 196 197 196 196 197 198 198 197 198 198 198 198 199 199 198 202 200 233 200 212 212 212 213
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 213 213 214 214 215 215 214 214 214 214 214 214 211 210 211 210 209 218 197 198 197 197 198 198 197 197 196 196 196 195 195 195 195 194 195 196 201 201 200 202 201 200 201 200 201 203 203 233 232 231 231 232 214
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 208 207 209 209 210 212 212 214 215 212 176 217 217 217 217 217 217 217 217 218 218 218 218 217 217 213 213 177 214 214 215 215 214 212 213 213 214 213 214 213 213 213 213 213 214 213 214 213 212 211 221 200 201 199 199 199 199 199 199 199 200 200 200 201 203 201 202 202 203 203 202 202 203 202 202 203 202 203 205 205 230 230 213 213 230 213
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 182 182 181 181 181 182 182 183 183 183 183 213 210 231 209 209 209 208 209 209 209 209 209 209 210 209 209 209 209 209 208 208 207 205 207 205 207 207 210 208 210 210 177 211 212 211 212 211 211 211 212 212 212 211 211 211 212 212 212 211 211 212 211 210 198 198 199 198 198 198 199 199 199 199 199 198 198 198 199 198 197 201 202 203 202 202 203 202 202 203 202 203 204 203 234 233 232 233 233 233
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 176 176 175 175 175 175 175 175 175 174 175 175 231 174 174 174 173 173 173 173 173 173 173 173 219 219 219 219 219 219 219 219 219 219 219 176 176 177 177 177 224 222 219 227 215 217 217 215 216 226 215 215 216 215 215 216 217 216 217 217 220 183 184 184 198 199 199 198 198 197 196 196 195 195 195 195 194 195 196 196 195 193 192 195 193 193 193 193 204 203 233 203 204 209 233 211
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 229 229 184 184 217 184 183 184 229 229 229 220 186 186 184 183 218 217 218 218 218 218 218 218 218 195 195 195 219 197 219 219 219 199 177 177 199 220 220 220 212 211 211 201 201 212 201 201 212 212 214 212 214 214 216 215 214 211 219 198 217 198 197 197 197 198 198 198 198 197 196 195 195 194 194 195 203 203 202 202 203 203 202 202 202 203 205 204 233 204 205 206 232 206
