1853 1854 1855 1856 1857 1858 1859 1860 1861 1862 1863 1864 1865 1866 1867 1868 1869 1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 213 214 214 215 215 216 216 171 171 171 170 170 170 170 171 170 170 170 170 171 171 171 195 194 194 195 195 196 198 199 200 200 200 200 199 199 199 199 199 199 198 199 197 199 199 224 199 200 199 200 202 201 206 208 208 208 208 206 206 206 206 206 206 206 201
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 213 213 213 213 213 213 213 214 214 214 214 215 215 215 172 171 170 171 170 170 170 170 193 170 170 170 170 170 170 196 195 194 195 195 195 196 196 199 199 199 199 199 197 198 198 198 198 198 197 197 196 196 197 197 199 199 198 198 199 199 199 196 195 195 196 198 206 207 207 207 208 207 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 195 195 194 195 196 197 198 198 198 198 196 196 195 196 196 196 198 199 197 198 199 199 197 196 195 195 195 196 196 208 208 208 179 197 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 213 182 184 182 221 220 221 188 218 219 221 193 194 195 195 192 192 191 176 192 189 194 188 196 187 188 174 187 188 188 189 189 213 213 213 213 214 214 215 215 215 215 171 170 170 214 170 170 170 192 170 170 170 170 170 170 170 170 192 192 193 193 194 194 195 198 198 194 193 195 196 197 197 197 196 195 195 194 195 195 195 196 224 196 197 198 198 196 196 195 196 195 198 206 208 208 208 178 198 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 181 186 186 181 181 219 186 188 179 181 180 192 194 195 195 194 194 177 177 194 179 196 186 182 176 176 175 176 213 187 213 213 213 213 213 213 214 174 173 174 173 173 171 170 170 170 170 170 170 193 193 194 195 195 170 196 196 195 194 195 195 195 195 196 198 199 199 199 198 196 197 197 198 197 198 197 197 196 197 197 198 200 200 200 199 201 201 202 206 208 208 207 206 206 207 207 207 208 207 205
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 191 191 191 192 170 170 170 170 214 194 192 193 193 193 194 194 196 196 196 194 194 195 195 196 196 196 196 195 195 194 195 195 195 195 196 196 196 198 198 198 198 195 196 205 205 205 206 206 206 178 205 202
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 194 193 194 195 193 194 195 196 197 176 196 197 213 213 188 188 213 213 213 213 213 214 214 214 215 215 215 215 171 171 215 170 171 170 192 170 170 170 170 170 170 170 170 193 193 193 193 194 194 196 197 198 193 193 195 196 196 198 198 198 196 196 195 195 195 196 198 199 199 198 200 199 204 205 195 205 205 205 205 206 206 206 208 206 205
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 213 213 214 218 217 221 191 218 219 221 191 221 194 194 191 191 192 192 193 193 194 195 196 196 195 188 188 189 189 190 191 192 192 191 214 214 215 215 215 216 170 171 170 170 169 170 170 170 192 170 193 170 170 170 170 194 193 193 193 193 193 194 194 195 195 195 195 195 195 195 196 197 197 196 195 195 195 195 195 196 198 223 198 197 199 199 205 208 209 208 206 206 206 207 208 207 209 207 206
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 219 220 220 220 168 187 188 191 192 195 195 191 192 178 177 193 194 195 195 196 176 175 175 175 175 188 213 213 213 213 173 213 214 173 173 173 172 172 172 171 171 170 170 170 170 170 170 170 170 170 170 170 170 170 192 193 193 193 194 194 195 198 198 194 193 195 196 196 197 197 197 196 195 194 195 196 223 199 223 199 199 176 203 205 177 178 178 177 177 177 178 178 206 178 178 203
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 220 220 219 220 179 196 178 178 196 178 194 177 177 196 196 196 197 197 176 176 175 176 213 188 189 213 213 213 213 213 214 214 173 173 215 173 172 171 171 171 171 171 171 192 170 170 170 170 171 171 171 172 192 193 193 193 194 194 198 198 198 196 197 196 198 198 198 198 198 197 197 196 197 197 197 199 199 199 199 200 200 200 199 197 199 199 206 206 206 208 207 209 206 200
