1853 1854 1855 1856 1857 1858 1859 1860 1861 1862 1863 1864 1865 1866 1867 1868 1869 1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 219 219 180 181 180 180 180 181 181 181 180 179 180 181 181 182 182 183 182 182 183 181 180 181 183 183 183 183 184 183 184 184 184 185 185 186 194 194 194 194 194 194 194 194 193 193
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 228 228 227 222 220 227 228 228 219 219 219 220 220 220 220 220 220 179 179 180 183 229 229 230 230 230 230 231 230 231 231 231 231 231 184 231 183 184 184 184 185 185 185 233 196 234 234 234 234 196 196 234 234
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 199 199 201 199 199 199 199 199 200 200 200 201 201 201 201 201
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 181 180 179 180 180 179 179 179 179 179 179 178 177 177 177 178 178 178 178 178 177 177 177 177 178 178 219 219 219 218 219 219 219 219 219 219 219 219 219 219 219 220 220 220 220 220 219 219 219 220 220 221 221 222 221 222 206 208 227 209 219 208 227 208 208 206 206 206 206 207 199 198 198 199 197 200 201 200 200 200 200
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 175 175 175 175 175 175 175 175 175 175 175 174 175 174 174 174 174 174 175 174 175 175 175 175 175 175 175 175 176 175 175 217 175 194 217 214 216 216 217 218 218 184 184 196 196 196 184 197 198 198 198 198 198 198 199 200 200 199 199 198 198 200 199 200 200 199 200 199 199 198 198 198 198 198 199 199 199 201 199 198
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 199 199 199 199 199 199 199 200 199 199 199 199 200 200 201 200 200 201 201 201 200 200 200 200 200 200 200 200 201 201 201 201 202
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 215 212 212 211 210 210 211 212 212 212 213 213 214 214 213 214 214 214 215 214 215 214 214 214 215 216 215 215 215 212 214 212 212 199 199 199 200 200 200 201 202 202 204 202 202 204 205 205 205 204 202 202 202 202 202 202 201 202 202 202 202 202 202 202 202 203
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 210 210 210 210 210 210 210 210 209 210 209 210 209 209 209 209 209 209 210 209 210 210 210 210 210 210 211 211 211 211 211 210 210 210 211 210 210 209 210 210 210 210 210 210 199 199 199 199 199 199 200 201 201 201 200 201 201 208 204 208 203 202 202 202 201 202 201 201 201 202 201 201 202 202 202 202 203
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 174 174 174 175 175 175 174 175 175 175 175 175 175 175 175 175 176 176 176 176 219 218 219 218 219 219 218 218 218 219 218 218 218 218 219 219 219 219 219 219 218 218 218 198 198 198 197 198 199 199 200 200 199 199 197 199 199 199 200 200 200 200 199 199 199 199 199 199 199 200 201 201 201 201 197
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 185 219 219 219 219 197 218 219 219 219 218 219 219 209 218 218 219 219 218 218 217 217 213 217 217 217 217 217 217 217 217 217 217 218 219 219 218 217 218 217 199 199 199 199 199 199 199 199 200 201 201 201 201 203 204 203 204 203 203 201 202 201 201 201 200 201 202 201 202 203 203 203 203 204
