1853 1854 1855 1856 1857 1858 1859 1860 1861 1862 1863 1864 1865 1866 1867 1868 1869 1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 172 171 171 171 194 195 172 171 172 172 172 196 195 195 196 196 195 196 196 195 195 195 195 196 196 197 197 199 196 199 199 199 199 199 199 199 199 200 200 200 200 200 199 199 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 193 191 193 193 194 194 194 194 195 195 195 194 194 194 194 195 194 194 194 194 194 194 195 195 195 195 195 195 195 195 195 195 196 197 197 197 195 197 196 196 196 196 197 198 198 199 199 198 199 199 198 198 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 198 196 196 195 195 195 195 195 195 195 196 198 198 198 198
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 186 186 186 185 186 186 186 186 186 187 214 188 189 214 188 189 189 173 173 174 173 173 173 173 173 191 191 190 191 191 191 172 172 172 190 191 172 191 191 191 191 173 172 172 173 192 193 193 193 194 194 193 193 193 193 193 193 194 194 195 195 195 195 194 195 195 195 195 195 195 196 196 196 198 195 198 198 197 197 198
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 185 184 184 181 180 180 180 184 185 186 186 186 188 176 175 191 175 175 174 175 175 174 174 174 174 193 193 193 194 194 195 195 196 195 195 195 195 195 195 194 195 195 195 194 194 195 195 195 195 196 196 195 195 195 195 195 195 195 196 197 197 197 197 196 198 198 197 197 197 199 199 199 200 200 200 200 200 199 199 200
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 193 194 194 194 194 194 194 194 194 194 194 195 195 195 195 194 195 195 195 195 195 195 196 196 198 198 198 199 199 198 198 198
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 193 193 193 193 173 173 173 173 172 172 193 193 191 193 193 193 172 172 214 213 213 213 193 213 214 214 214 193 193 215 215 215 216 193 194 194 193 193 193 193 193 193 194 194 195 195 196 195 194 195 195 195 195 195 196 196 199 200 200 200 201 201 199 199 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 192 192 191 190 191 192 191 192 191 192 191 191 191 192 192 192 217 172 172 172 192 192 192 191 192 192 192 192 193 193 193 192 192 193 192 192 192 192 193 193 193 193 194 193 193 194 194 193 193 193 193 194 194 194 194 195 195 195 195 194 195 195 195 195 195 195 195 196 196 196 195 198 199 198 198 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 176 176 176 176 188 188 188 189 174 173 173 174 174 174 174 174 173 174 173 173 173 173 173 172 173 172 172 172 173 173 173 173 173 193 193 193 173 172 172 173 173 194 193 193 194 194 193 194 193 193 194 193 194 194 195 195 195 195 193 195 195 195 195 196 199 199 199 200 200 200 201 201 199 199 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 176 216 216 216 194 194 174 174 174 174 174 174 174 174 174 174 174 174 174 173 173 173 173 173 173 173 173 173 193 173 193 193 192 193 173 173 172 173 173 194 194 194 195 195 195 195 194 194 195 195 195 195 196 197 197 197 195 197 197 197 197 197 198 199 199 199 199 199 199 199 199 198 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 177 217 217 217 190 191 191 216 190 191 191 174 174 174 174 174 174 174 173 192 192 191 191 192 192 172 172 172 172 212 192 193 191 192 193 193 193 192 192 193 193 193 193 195 194 194 194 194 194 194 194 194 195 196 196 197 196 195 196 196 196 196 195 196 198 198 199 199 199 199 200 199 198 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 192 192 193 193 193 173 172 193 193 193 193 193 193 193 194 195 194 194 194 194 194 193 193 193 194 194 193 193 194 194 194 194 195 195 194 194 195 195 195 195 195 195 196 197 197 197 196 197 197 196 197 197 199 199 199 200 200 200 201 201 199 199 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 194 194 194 194 195 195 194 194 195 195 195 195 195 195 195 195 195 195 195 198 199 198 198 198
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 186 186 186 186 186 187 187 187 188 213 187 188 188 188 189 174 173 173 173 173 190 189 190 189 189 189 189 172 173 173 173 173 173 173 190 191 191 173 172 173 173 173 192 192 192 193 193 193 193 193 193 193 193 194 194 195 196 196 196 195 196 196 195 196 196 196 196 196 196 199 196 199 200 198 198 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 185 186 185 214 214 214 187 188 189 215 216 215 216 173 173 173 173 173 173 172 194 193 193 192 193 193 193 193 194 194 194 194 194 194 193 193 193 193 193 193 193 194 194 194 194 195 195 194 194 194 194 194 194 195 195 196 196 196 196 195 196 196 196 196 196 196 196 196 198 199 198 199 199 199 199 199
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 188 203 204 187 187 187 187 202 201 188 188 188 188 188 188 188 188 188 188 188 187 188 188 188 188 188 188 187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 186 187 187 187 187 187 187 187 187 187 187
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 189 189 189 189 189 189 189 189 188 188 188 188 188 188 188 188 188 189 189 188 188 189 188 188 187 187 187 188 187 187 187 187 187 187 187 187 188 188 188 187 187 187 187 187 187 187 187 187 187 187 187 187 186 186 186 186 186 185 186 186 186 186 185 185 186 186 185 184 184 185 185 185 186 186 186 -9999 -9999 -9999
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 179
-9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 186 186 187 187 187 187 187 187 187 187
