id,book,user,position,annotation,tweeted,date,votes,winner
1,Harry Potter (all books together),uvmscraps,80.25%,Dumbledore dies,notset,2014-11-11 03:45:10+00:00,0,0
2,"Frankenstein, Or the Modern Prometheus",uvmscraps,34.21%,Accused of murder,notset,2014-11-12 16:24:41+00:00,1,1
3,"Frankenstein, Or the Modern Prometheus",ottotheotto,48.68%,He's not a killer,notset,2014-11-20 17:27:02+00:00,1,1
4,"Frankenstein, Or the Modern Prometheus",ottotheotto,48.68%,He's not a killer,notset,2014-11-20 17:27:05+00:00,1,0
5,"Frankenstein, Or the Modern Prometheus",ottotheotto,48.68%,He's not a killer,notset,2014-11-20 17:28:35+00:00,1,0
6,"Frankenstein, Or the Modern Prometheus",ottotheotto,48.68%,He's not a killer,notset,2014-11-20 17:30:52+00:00,1,0
7,"Frankenstein, Or the Modern Prometheus",ottotheotto,48.68%,He's not a killer,notset,2014-11-20 17:30:57+00:00,1,0
8,"Frankenstein, Or the Modern Prometheus",ottotheotto,48.68%,He's not a killer,notset,2014-11-20 17:36:40+00:00,1,0
9,"Frankenstein, Or the Modern Prometheus",ottotheotto,48.68%,He's not a killer,notset,2014-11-20 17:37:23+00:00,1,0
10,"Frankenstein, Or the Modern Prometheus",ottotheotto,48.68%,He's not a killer,notset,2014-11-20 17:38:45+00:00,1,0
11,Harry Potter (all books together),ottotheotto,80.63%,Dumbledore dies,notset,2014-11-20 21:21:41+00:00,1,1
12,Harry Potter (all books together),ottotheotto,27.14%,Harry wins triwizard tournament,notset,2014-11-20 21:22:08+00:00,2,1
13,Harry Potter (all books together),ottotheotto,64.29%,Sirius Black killed,notset,2014-11-20 21:23:31+00:00,2,1
14,Harry Potter and the Sorcerer's Stone,andyreagan,67.90%,Harry wins quiddich match,notset,2015-02-07 17:46:15+00:00,1,1
15,Harry Potter and the Sorcerer's Stone,andyreagan,32.10%,Harry sorted into Gryffindor,notset,2015-02-18 19:35:33+00:00,1,1
