"cdanforth","http://www.uvm.edu/~cdanfort/main/home.html",,"Chris Danforth"
"mrfrank","http://www.uvm.edu/~mrfrank","http://www.uvm.edu/~mrfrank/membersOnly/mf1.jpg","Morgan Frank"
"jbongard","http://www.cs.uvm.edu/~jbongard/","http://www.cs.uvm.edu/~jbongard/pics/Josh.jpg","Josh Bongard"
,,,
"pdodds","http://www.uvm.edu/~pdodds/files/research/peter-dodds-cv-p.pdf","http://www.uvm.edu/~cmplxsys/wordpress/wp-content/uploads/peter-dodds.jpg","Peter Dodds"
"jbagrow","http://bagrow.com/","http://www.uvm.edu/~cmplxsys/wordpress/wp-content/uploads/james-bagrow.jpg","James Bagrow"
"ydubief","http://www.uvm.edu/~ydubief/","http://www.uvm.edu/~cmplxsys/wordpress/wp-content/uploads/yves-dubief.jpg","Yves Dubief"
"phines","http://www.uvm.edu/~phines/","http://www.uvm.edu/~cmplxsys/wordpress/wp-content/uploads/paul-hines.jpg","Paul Hines"
"92btivna",,,"Brian Tivnan"
"jhtbates","http://www.uvm.edu/medicine/medicine/pulmonary/?Page=profile.php","https://comis.med.uvm.edu/bioviewer/BioImages/22694.jpg","Jason Bates"
"bbeckage","http://www.uvm.edu/~bbeckage/","http://www.uvm.edu/~bbeckage/PhotoAlbum/FamilyImages/BrianBeckage.Apr2009.jpg","Brian Beckage"
"mjdunlop","http://www.cems.uvm.edu/~mjdunlop/index.html","http://www.cems.uvm.edu/~mjdunlop/mary_dunlop.jpg","Mary Dunlop"
"meppstei","http://www.cs.uvm.edu/~meppstei/","http://www.uvm.edu/~cems/cs/welcome/MaggieHeadshotJan2012Color.jpg","Maggie Eppstein"
"hgaravan","http://www.uvm.edu/~psych/?Page=faculty/Garavan.php","http://www.uvm.edu/~psych/images/faculty/Garavan(150x200).jpg","Hugh Garavan"
"wgibson","http://www.uvm.edu/~wgibson/","http://www.uvm.edu/~wgibson/graphics/BG.jpg","Bill Gibson"
"cgoodnig","http://www.uvm.edu/~biology/?Page=faculty/goodnight.php","http://www.uvm.edu/~biology/faculty/images/charlweb.jpg","Charles Goodnight"
"emhernan","http://www.emhernandez.com/","http://www.emhernandez.com/images/414696045ec9f9145009ddb003872485.jpg","Eric Hernandez"
"ckoliba","http://www.uvm.edu/~ckoliba/","http://www.uvm.edu/~ckoliba/images/koliba_highquality.jpg","Christopher Koliba"
"gmirchan","http://www.cems.uvm.edu/~gmirchan/","http://www.cems.uvm.edu/~gmirchan/images/gagan-mirchandani.jpg","Gagan Mirchandani"
"drizzo","http://www.uvm.edu/~drizzo/","http://www.uvm.edu/~drizzo/images/Donna.jpg","Donna Rizzo"
"fsansoz","http://www.uvm.edu/~fsansoz/People.html",,"Frederic Sansoz"
"azia","http://www.uvm.edu/~azia/","http://www.uvm.edu/~cmplxsys/faculty/gfx/zia-faclist.jpg","Asim Zia"
"nallgaie","http://www.uvm.edu/~nallgaie/",,"Nick Allgaier"
"cabliss","http://www.cems.uvm.edu/~cabliss/","http://www.cems.uvm.edu/~cabliss/catherinebliss.jpg","Cathy Bliss"
"scelis","http://shanecelis.github.io/","https://1.gravatar.com/avatar/11ff2acffb38fde46d18cf5f28677f33?d=https://identicons.github.com/d78ac4b321661d2a8815300d1d09972b.png","Shane Celis"
"epecheni","http://www.uvm.edu/~epecheni/",,"Eitan Pechenick"
"areagan","http://andyreagan.com/",,"Andy Reagan"
"jrwillia","http://www.uvm.edu/~jrwillia/home/williams_home.html",,"Jake Williams"
"btries",,,"Brandon Tries"
"adpowers",,,"Aaron Powers"
"tmcandre",,,"Tom McAndrew"
"salajaji",,,"Sharon Alajajian"
"eclark",,,"Eric Clark"
"emcody",,,"Emily Cody"
"mfoley1",,,"Mike Foley"
"kmleblan",,,"Kayla Horak"
"lvanleir",,,"Lindsay Van Leir"
"sdesu",,,"Suma Desu"
"kharris",,,"Kameron D. Harris"
"ikloumann",,,"Isabel Kloumann"
"plessard",,,"Paul Lessard"
"lmitche1","http://www.uvm.edu/~lmitche1/main/Welcome.html",,"Lewis Mitchell"
"mbakirci",,,"Mert Bakirci"
"nmanukya",,,"Narine Manukyan"
"ebloedorn",,,"Eric E. Bloedorn"
"lbooker",,,"Lashon B. Booker"
"lbranting",,,"Luther K. Branting"
"msmith",,,"Michael J. Smith"
"jpayne",,,"Joshua L. Payne"
"wgottesman",,,"William L. Gottesman"
"jweitz",,,"J. S. Weitz"
"cprice",,,"Charles A. Price"
"vsavage",,,"Van M. Savage"
"jstegen",,,"James Stegen"
"aclarke",,,"Andrew Clarke"
"dcoomes",,,"David A. Coomes"
"retienne",,,"Rampal S. Etienne"
"akerkhoff",,,"Andrew J. Kerkhoff"
"kmcculloh",,,"Katherine McCulloh"
"kniklas",,,"Karl J. Niklas"
"holff",,,"Han Olff"
"nswenson",,,"Nathan G. Swenson"
"whartmann",,,"Wesley R. Hartmann"
"pmanchanda",,,"Puneet Manchanda"
"hnair",,,"Harikesh Nair"
"mbothner",,,"Matthew Bothner"
"dgodes",,,"David Godes"
"khosanagar",,,"Kartik Hosanagar"
"ctucker",,,"Catherine Tucker"
"dwatts",,,"Duncan J. Watts"
"nhanaki",,,"Nobuyuki Hanaki"
"apeterhansl",,,"Alexander Peterhansl"
"msalganik",,,"Matthew J. Salganik"
"rmuhamad",,,"Roby Muhamad"
"dmedina",,,"Daniel C. Medina"
"csabel",,,"Charles F. Sabel"
"mnewman",,,"M. E. J. Newman"
"drothman",,,"D. H. Rothman"
"gghanava",,,"Goodarz Ghanavati"
"tlakoba",,,"Taras Lakoba"
"ecotillasanchez",,,"Eduardo Cotilla-Sanchez"
"idobson",,,"Ian Dobson"
"cbarrows",,,"Clayton Barrows"
"sblumsack",,,"Seth Blumsack"
"mvaiman",,,"M. Vaiman"
"kbell",,,"K. Bell"
"ychen",,,"Y. Chen"
"bchowdhury",,,"B. Chowdhury"
"mpapic",,,"M. Papic"
"smiller",,,"S. Miller"
"pzhang",,,"P. Zhang"
"bohara",,,"Benjamin O’Hara"
"kbalasubramaniam",,,"K. Balasubramaniam"
"stalukdar",,,"Sarosh Talukdar"
"japt",,,"Jay Apt"
"prezaei",,,"Pooya Rezaei"
"jfrolik",,,"Jeff Frolik"
"ahilshey",,,"Alexander D. Hilshey"
"jdowds",,,"Jonathan R. Dowds"
"jmarshall",,,"Jeffrey S. Marshall"
"jzhang",,,"Jiarui D. Zhang"
"fminervini",,,"Francesca Minervini"
"srinjitham",,,"Simtha Rinjitham"
"jsears",,,"Justine Sears"
"laultmanhall",,,"Lisa Aultman-Hall"
"cfarmer",,,"Chris Farmer"
"rwatts",,,"Richard Watts"
"tryan",,,"Todd Ryan"
"pjaramillo",,,"Paulina Jaramillo"
"ghug",,,"Gabriela Hug"
"wbuchanan",,,"William Buchanan"
"jyang",,,"Jie Yang"
"kbevelander",,,"Kirsten E. Bevelander"
"kkaipainen",,,"Kirsikka Kaipainen"
"rswain",,,"Robert Swain"
"sdohle",,,"Simone Dohle"
"bwansink",,,"Brian Wansink"
"jauerbach",,,"Joshua E. Auerbach"
"dconger",,,"Dylan Conger"
"phurd",,,"Peter Hurd"
"zlu",,,"Zhenyu Lu"
"kkaipa",,,"Krishnanand N. Kaipa"
"ameltzoff",,,"Andrew N. Meltzoff"
"arughani",,,"Anand I. Rughani"
"tdumont",,,"Travis M. Dumont"
"mhorgan",,,"Michael A. Horgan"
"ppenar",,,"Paul L. Penar"
