date,value
2012-01-01,6.0438933
2012-01-02,5.9697046
2012-01-03,5.964332
2012-01-04,5.963974
2012-01-05,5.9658017
2012-01-06,5.985863
2012-01-07,5.9838624
2012-01-08,5.970644
2012-01-09,5.9665546
2012-01-10,5.960054
2012-01-11,5.976484
2012-01-12,5.9729223
2012-01-13,5.9972606
2012-01-14,5.9872255
2012-01-15,5.9710855
2012-01-16,5.9508567
2012-01-17,5.9564934
2012-01-18,5.9431844
2012-01-19,5.957152
2012-01-20,5.9858227
2012-01-21,5.9756546
2012-01-22,5.9645944
2012-01-23,5.9570494
2012-01-24,5.9612603
2012-01-25,5.9652805
2012-01-26,5.969167
2012-01-27,5.998722
2012-01-28,5.992185
2012-01-29,5.9663215
2012-01-30,5.95625
2012-01-31,5.96895
2012-02-01,5.97157
2012-02-02,5.980836
2012-02-03,6.0114245
2012-02-04,6.00628
2012-02-05,6.0023685
2012-02-06,5.9706693
2012-02-07,5.975349
2012-02-08,5.973649
2012-02-09,5.980364
2012-02-10,6.007748
2012-02-11,5.96793
2012-02-12,5.9766393
2012-02-13,6.0020905
2012-02-14,6.12032
2012-02-15,5.967803
2012-02-16,5.975863
2012-02-17,5.9999337
2012-02-18,5.9722514
2012-02-19,5.9664073
2012-02-20,5.9633684
2012-02-21,5.973442
2012-02-22,5.9611726
2012-02-23,5.9622064
2012-02-24,5.992243
2012-02-25,5.9908714
2012-02-26,5.972268
2012-02-27,5.9628177
2012-02-28,5.963913
2012-02-29,5.964731
2012-03-01,5.9990325
2012-03-02,5.992614
2012-03-03,5.9887934
2012-03-04,5.9652066
2012-03-05,5.9601097
2012-03-06,5.9650245
2012-03-07,5.9707565
2012-03-08,5.9887476
2012-03-09,6.0007334
2012-03-10,6.0004706
2012-03-11,5.9829173
2012-03-12,5.9694166
2012-03-13,5.9753604
2012-03-14,5.9873505
2012-03-15,5.9895487
2012-03-16,6.000974
2012-03-17,6.0275097
2012-03-18,5.9956174
2012-03-19,5.960738
2012-03-20,5.976313
2012-03-21,5.9773455
2012-03-22,5.97936
2012-03-23,5.998423
2012-03-24,6.001325
2012-03-25,5.97886
2012-03-26,5.9585934
2012-03-27,5.970862
2012-03-28,5.9763904
2012-03-29,5.968945
2012-03-30,6.001934
2012-03-31,5.997514
2012-04-01,5.9731483
2012-04-02,5.973653
2012-04-03,5.96988
2012-04-04,5.980511
2012-04-05,5.990605
2012-04-06,6.0090137
2012-04-07,6.0095844
2012-04-08,6.041948
2012-04-09,5.963793
2012-04-10,5.9561043
2012-04-11,5.939419
2012-04-12,5.9644475
2012-04-13,6.0035458
2012-04-14,5.9955106
2012-04-15,5.969377
2012-04-16,5.962235
2012-04-17,5.970533
2012-04-18,5.966574
2012-04-19,5.972748
2012-04-20,6.0101333
2012-04-21,6.0649953
2012-04-23,5.9271426
2012-04-24,5.9718738
2012-04-25,5.9678564
2012-04-26,5.979569
2012-04-27,6.0031137
2012-04-28,5.9902196
2012-04-29,5.9659247
2012-04-30,5.9568996
2012-05-01,5.9643
2012-05-02,5.967938
2012-05-03,5.973479
2012-05-04,6.0000825
2012-05-05,6.003507
2012-05-06,5.9716444
2012-05-07,5.952418
2012-05-08,5.960584
2012-05-09,5.9621544
2012-05-10,5.9744573
2012-05-11,5.996412
2012-05-12,6.0218663
2012-05-13,6.0869055
2012-05-14,5.9567347
2012-05-15,5.955049
2012-05-16,5.9627557
2012-05-17,5.9702044
2012-05-18,6.0034304
2012-05-19,6.002389
2012-05-20,5.9740496
2012-05-21,5.95336
2012-05-22,5.9597564
2012-05-23,5.96993
2012-05-24,5.976057
2012-05-25,6.004209
2012-05-26,6.0031686
2012-05-27,5.984522
2012-05-28,5.9731536
2012-05-29,5.944636
2012-05-30,5.9533134
2012-05-31,5.9729614
2012-06-01,5.9954047
2012-06-02,5.994593
2012-06-03,5.9626613
2012-06-04,5.9651256
2012-06-05,5.9630165
2012-06-06,5.9682612
2012-06-07,5.9710383
2012-06-08,5.993995
2012-06-09,5.982923
2012-06-10,5.9617467
2012-06-11,5.970624
2012-06-12,5.9585266
2012-06-13,5.96195
2012-06-14,5.9525113
2012-06-15,5.987647
2012-06-16,5.9946876
2012-06-17,6.0346518
2012-06-18,5.9631686
2012-06-19,5.942629
2012-06-20,5.961144
2012-06-21,5.956707
2012-06-22,5.978596
2012-06-23,5.9856906
2012-06-24,5.9603076
2012-06-25,5.9530706
2012-06-26,5.962221
2012-06-27,5.964438
2012-06-28,5.961895
2012-06-29,5.990279
2012-06-30,5.968892
2012-07-01,5.9614525
2012-07-02,5.958878
2012-07-03,5.9649253
2012-07-04,6.011922
2012-07-05,5.9640102
2012-07-06,5.9769883
2012-07-07,5.981798
2012-07-08,5.9635015
2012-07-09,5.9448147
2012-07-10,5.9671144
2012-07-11,5.9598
2012-07-12,5.962589
