date,value
2010-01-01,6.155621
2010-01-02,6.065278
2010-01-03,6.030448
2010-01-04,6.0303755
2010-01-05,6.015637
2010-01-06,6.0246415
2010-01-07,6.019722
2010-01-08,6.044042
2010-01-09,6.0443354
2010-01-10,6.040343
2010-01-11,6.02231
2010-01-12,6.010508
2010-01-13,6.0064588
2010-01-14,6.0221515
2010-01-15,6.060702
2010-01-16,6.062725
2010-01-17,6.057977
2010-01-18,6.043377
2010-01-19,6.0154696
2010-01-20,6.0238333
2010-01-21,6.028267
2010-01-22,6.059444
2010-01-23,6.0630255
2010-01-24,6.0379286
2010-01-25,6.0330834
2010-01-26,6.025509
2010-01-27,6.036986
2010-01-28,6.027828
2010-01-29,6.0563755
2010-01-30,6.051912
2010-01-31,6.046064
2010-02-01,6.0381255
2010-02-02,6.018457
2010-02-03,6.0347185
2010-02-04,6.028098
2010-02-05,6.053078
2010-02-06,6.063495
2010-02-07,6.0725875
2010-02-08,6.036244
2010-02-09,6.024685
2010-02-10,6.0161934
2010-02-11,6.0318494
2010-02-12,6.076242
2010-02-13,6.0939994
2010-02-14,6.1728544
2010-02-15,6.05764
2010-02-16,6.03989
2010-02-17,6.0185227
2010-02-18,6.0251307
2010-02-19,6.0601845
2010-02-20,6.0680885
2010-02-21,6.0575314
2010-02-22,6.078627
2010-02-23,6.0044246
2010-02-24,6.0243716
2010-02-25,6.0315466
2010-02-26,6.057821
2010-02-27,6.012868
2010-02-28,6.057134
2010-03-01,6.0442767
2010-03-02,6.023278
2010-03-03,6.0303907
2010-03-04,6.0385766
2010-03-05,6.07296
2010-03-06,6.0766263
2010-03-07,6.057678
2010-03-08,6.048386
2010-03-09,6.0371795
2010-03-10,6.0335717
2010-03-11,6.036906
2010-03-12,6.0704417
2010-03-13,6.069407
2010-03-14,6.048343
2010-03-15,6.0466027
2010-03-16,6.043531
2010-03-17,6.056194
2010-03-18,6.04283
2010-03-19,6.075561
2010-03-20,6.065831
2010-03-21,6.042546
2010-03-22,6.0372934
2010-03-23,6.0308847
2010-03-24,6.0390115
2010-03-25,6.043528
2010-03-26,6.0779767
2010-03-28,6.0507584
2010-03-29,6.0276012
2010-03-30,6.0308166
2010-03-31,6.0374036
2010-04-01,6.0456653
2010-04-02,6.0939727
2010-04-03,6.095543
2010-04-04,6.117359
2010-04-05,6.0495505
2010-04-06,6.029653
2010-04-07,6.0357695
2010-04-08,6.0446687
2010-04-09,6.078109
2010-04-10,6.0660467
2010-04-11,6.0597486
2010-04-12,6.0475035
2010-04-13,6.0452833
2010-04-14,6.042846
2010-04-15,6.0402493
2010-04-16,6.0678053
2010-04-17,6.0688653
2010-04-18,6.044777
2010-04-19,6.036333
2010-04-20,6.041654
2010-04-21,6.0468435
2010-04-22,6.048325
2010-04-23,6.0664773
2010-04-24,6.066215
2010-04-25,6.0492153
2010-04-26,6.030986
2010-04-27,6.030263
2010-04-28,6.0311084
2010-04-29,6.035317
2010-04-30,6.0724106
2010-05-01,6.0619483
2010-05-02,6.043216
2010-05-03,6.03077
2010-05-04,6.0213633
2010-05-05,6.0357494
2010-05-06,6.027406
2010-05-07,6.0691805
2010-05-08,6.082978
2010-05-09,6.151517
2010-05-10,6.0226116
2010-05-11,6.022662
2010-05-12,6.036088
2010-05-13,6.038967
2010-05-14,6.056176
2010-05-15,6.0683393
2010-05-16,6.053603
2010-05-17,6.032288
2010-05-18,6.0297728
2010-05-19,6.037148
2010-05-20,6.0465007
2010-05-21,6.0732446
2010-05-22,6.0704913
2010-05-23,6.034477
2010-05-24,6.0083117
2010-05-25,6.0318336
2010-05-26,6.037233
2010-05-27,6.0416856
2010-05-28,6.065847
2010-05-29,6.0677958
2010-05-30,6.059844
2010-05-31,6.031198
2010-06-01,6.0370216
2010-06-02,6.038072
2010-06-03,6.041577
2010-06-04,6.0676827
2010-06-05,6.068245
2010-06-06,6.050135
2010-06-07,6.0469046
2010-06-08,6.0333114
2010-06-09,6.042699
2010-06-10,6.045483
2010-06-11,6.073115
2010-06-12,6.0802417
2010-06-13,6.047977
2010-06-14,6.0468407
2010-06-15,6.0193105
2010-06-16,6.0371923
2010-06-17,6.0491834
2010-06-18,6.0703197
2010-06-19,6.081935
2010-06-20,6.115666
2010-06-21,6.054128
2010-06-22,6.0307174
2010-06-23,6.0336328
2010-06-24,6.044445
2010-06-25,6.058183
2010-06-26,6.057078
2010-06-27,6.0117593
2010-06-28,6.0380306
2010-06-29,6.0410705
2010-06-30,6.0458813
2010-07-01,6.0521703
2010-07-02,6.041969
2010-07-03,6.061056
2010-07-04,6.099079
2010-07-05,6.0445232
2010-07-06,6.035543
2010-07-07,6.0386615
2010-07-08,6.0262504
2010-07-09,6.0692606
2010-07-10,6.0690503
2010-07-11,6.0634623
2010-07-12,6.036845
2010-07-13,6.036645
2010-07-14,6.03417
2010-07-15,6.04268
2010-07-16,6.0617433
2010-07-17,6.0648565
2010-07-18,6.0563664
2010-07-19,6.036297
2010-07-20,6.037577
2010-07-21,6.0354733
2010-07-22,6.044028
2010-07-23,6.0565596
2010-07-24,6.0653157
2010-07-25,6.052665
2010-07-26,6.039882
2010-07-27,6.0437026
2010-07-28,6.037355
2010-07-29,6.0480433
2010-07-30,6.0590343
2010-07-31,6.0821004
2010-08-01,6.0598645
2010-08-02,6.038407
2010-08-03,6.0332685
2010-08-04,6.043683
2010-08-05,6.032134
2010-08-06,6.058925
2010-08-07,6.0623465
2010-08-08,6.0555663
2010-08-09,6.0465856
2010-08-10,6.0432715
2010-08-11,6.0515037
2010-08-12,6.045122
2010-08-13,6.0662704
2010-08-14,6.067889
2010-08-15,6.060868
2010-08-16,6.0457664
2010-08-17,6.031758
2010-08-18,6.0292263
2010-08-19,6.030318
2010-08-20,6.058224
2010-08-21,6.0536275
2010-08-22,6.0443482
2010-08-23,6.021047
2010-08-24,6.026791
2010-08-25,6.028471
2010-08-26,6.034354
2010-08-27,6.0531855
2010-08-28,6.042621
2010-08-29,6.04606
2010-08-30,6.0196853
2010-08-31,6.0181975
2010-09-01,6.0229535
2010-09-02,6.0273523
2010-09-03,6.0482388
2010-09-04,6.0669456
2010-09-05,6.0522966
2010-09-06,6.033196
2010-09-07,6.017434
2010-09-08,6.0294414
2010-09-09,6.027613
2010-09-10,6.0370855
2010-09-11,6.029884
2010-09-12,6.026516
2010-09-13,6.0296035
2010-09-14,6.0277963
2010-09-15,6.0300574
2010-09-16,6.0099764
2010-09-17,6.0409427
2010-09-18,6.0421367
2010-09-19,6.0242414
2010-09-20,6.0095477
2010-09-21,5.997015
2010-09-22,6.00579
2010-09-23,5.9973044
2010-09-24,6.0354114
2010-09-25,6.034541
2010-09-26,6.0190425
2010-09-27,6.0080223
2010-09-28,6.0034757
2010-09-29,6.01097
2010-09-30,6.014207
2010-10-01,6.0464234
2010-10-02,6.039442
2010-10-03,5.9973235
2010-10-04,6.014918
2010-10-05,6.015723
2010-10-06,6.0294046
2010-10-07,6.0219407
2010-10-08,6.048713
2010-10-09,6.04875
2010-10-10,6.0367036
2010-10-11,6.0234566
2010-10-12,6.0229793
2010-10-13,6.02223
2010-10-14,6.015291
2010-10-15,6.039745
2010-10-16,6.0436983
2010-10-17,6.023555
2010-10-18,6.0146213
2010-10-19,6.012846
2010-10-20,6.011208
2010-10-21,6.0214405
2010-10-22,6.045682
2010-10-23,6.0366445
2010-10-24,6.046259
2010-10-25,6.022639
2010-10-26,5.9973807
2010-10-27,6.010059
2010-10-28,6.019569
2010-10-29,6.035439
2010-10-30,6.029749
2010-10-31,6.0301294
2010-11-01,6.0219684
2010-11-02,6.0049496
2010-11-03,6.011483
2010-11-04,6.022863
2010-11-05,6.0503955
2010-11-06,6.044263
2010-11-07,6.043248
2010-11-08,6.031936
2010-11-09,6.023495
2010-11-10,6.026948
2010-11-11,6.033979
2010-11-12,6.044477
2010-11-13,6.0398517
2010-11-14,6.037605
2010-11-15,6.0406547
2010-11-16,6.0426116
2010-11-17,6.0439105
2010-11-18,6.03615
2010-11-19,6.0482874
2010-11-20,6.046372
2010-11-21,6.0298457
2010-11-22,6.033162
2010-11-23,6.0200305
2010-11-24,6.0406666
2010-11-25,6.12658
2010-11-26,6.0515146
2010-11-27,6.0385528
2010-11-28,6.024725
2010-11-29,6.0277715
2010-11-30,6.027358
2010-12-01,6.0250607
2010-12-02,6.027543
2010-12-03,6.0485253
2010-12-04,6.0525503
2010-12-05,6.0545897
2010-12-06,6.038659
2010-12-07,6.024401
2010-12-08,6.021354
2010-12-09,6.016675
2010-12-10,6.0423355
2010-12-11,6.053129
2010-12-12,6.0252323
2010-12-13,6.011674
2010-12-14,6.02307
2010-12-15,6.0245466
2010-12-16,6.0264773
2010-12-17,6.0497856
2010-12-18,6.0495806
2010-12-19,6.047849
2010-12-20,6.0313063
2010-12-21,6.0574527
2010-12-22,6.0519204
2010-12-23,6.0771484
2010-12-24,6.2379727
2010-12-25,6.2599363
2010-12-26,6.049919
2010-12-27,6.023219
2010-12-28,6.0163245
2010-12-29,6.006953
2010-12-30,6.02967
2010-12-31,6.1825128
