word	valence	arousal	dominance	goodness	energy	structure	power	danger	structure
aaaaaaah	-0.021020	0.106034	-0.209155	-0.134677	-0.022548	0.191793	-0.111175	0.079288	0.191793
aaaah	0.019980	0.136034	-0.218155	-0.108079	-0.009215	0.233945	-0.082939	0.069907	0.233945
aardvark	-0.073020	-0.009966	-0.063155	-0.091981	-0.030811	0.003154	-0.086828	0.043254	0.003154
aback	-0.115020	-0.092966	-0.212155	-0.187590	-0.173363	0.040463	-0.255233	0.010060	0.040463
abacus	0.009980	-0.223966	-0.015155	0.034769	-0.194588	-0.106849	-0.113009	-0.162180	-0.106849
abalone	-0.000020	-0.019966	-0.088155	-0.039474	-0.064258	0.049826	-0.073350	-0.017525	0.049826
abandon	-0.448020	0.019034	-0.255155	-0.512623	-0.051154	-0.028099	-0.398650	0.326308	-0.028099
abandoned	-0.454020	-0.018966	-0.370155	-0.567492	-0.143890	0.027529	-0.503023	0.299532	0.027529
abandonment	-0.372020	-0.069966	-0.298155	-0.454393	-0.160015	-0.010649	-0.434452	0.208156	-0.010649
abashed	-0.323020	0.144034	-0.193155	-0.393482	0.065648	0.057088	-0.231814	0.324654	0.057088
abate	-0.245020	0.196034	0.103845	-0.190903	0.257112	-0.081839	0.046816	0.316794	-0.081839
abatement	-0.112020	-0.161966	-0.164155	-0.151588	-0.204748	-0.028767	-0.251968	-0.037590	-0.028767
abba	0.061980	0.000034	-0.020155	0.043823	-0.020784	0.043535	0.016291	-0.045684	0.043535
abbey	0.079980	-0.132966	-0.056155	0.061900	-0.152901	0.004453	-0.064347	-0.151887	0.004453
abbot	-0.073020	-0.178966	-0.017155	-0.044599	-0.145306	-0.120632	-0.134284	-0.071211	-0.120632
abbreviate	0.030980	-0.124966	-0.170155	-0.036495	-0.200284	0.063902	-0.167428	-0.115816	0.063902
abbreviation	-0.031020	-0.193966	-0.155155	-0.072518	-0.239191	-0.013677	-0.220411	-0.117855	-0.013677
abdomen	-0.031020	-0.037966	-0.029155	-0.035157	-0.042180	-0.015442	-0.054686	-0.004966	-0.015442
abdominal	-0.010020	-0.043966	-0.055155	-0.028641	-0.064575	0.009236	-0.065913	-0.025409	0.009236
abduct	-0.327020	0.220034	0.114845	-0.260014	0.295955	-0.115542	0.025414	0.393129	-0.115542
abduction	-0.438020	0.490034	0.172845	-0.368282	0.567862	-0.061415	0.141125	0.661954	-0.061415
aberrant	-0.354020	0.265034	-0.069155	-0.378632	0.237642	0.022804	-0.099695	0.435771	0.022804
aberration	-0.375020	0.316034	-0.083155	-0.411125	0.275479	0.050200	-0.095916	0.485502	0.050200
abeyance	-0.170020	0.010034	-0.208155	-0.248549	-0.077443	0.067545	-0.230511	0.120990	0.067545
abhor	-0.375020	0.102034	-0.151155	-0.411903	0.062059	-0.019592	-0.247377	0.335141	-0.019592
abhorrence	-0.333020	0.184034	-0.080155	-0.353694	0.161502	-0.003723	-0.135900	0.364298	-0.003723
abhorrent	-0.271020	0.250034	-0.026155	-0.284006	0.235338	0.024697	-0.034413	0.367231	0.024697
abide	0.134980	-0.145966	0.204845	0.236990	-0.030911	-0.156100	0.145720	-0.189435	-0.156100
abiding	0.295980	-0.172966	0.249845	0.401739	-0.054473	-0.124829	0.245554	-0.322591	-0.124829
ability	0.374980	0.010034	0.315845	0.474414	0.119686	-0.032782	0.420093	-0.250831	-0.032782
abject	-0.146020	0.090034	-0.083155	-0.179592	0.052494	0.036524	-0.089871	0.164109	0.036524
ablation	-0.082020	0.000034	-0.000155	-0.070919	0.013027	-0.039091	-0.040936	0.059359	-0.039091
ablaze	-0.260020	0.347034	0.024845	-0.264439	0.341259	0.047694	0.054320	0.428293	0.047694
able	0.285980	0.000034	0.309845	0.396151	0.122379	-0.076653	0.366657	-0.193586	-0.076653
abnormal	-0.363020	0.104034	-0.191155	-0.421093	0.040111	0.014786	-0.269395	0.326120	0.014786
abnormality	-0.408020	0.155034	-0.117155	-0.431951	0.129481	-0.029903	-0.213879	0.396992	-0.029903
aboard	0.197980	-0.215966	-0.019155	0.194022	-0.220143	-0.009846	-0.018470	-0.292858	-0.009846
abode	0.119980	-0.197966	-0.000155	0.133113	-0.182551	-0.050416	-0.034958	-0.223208	-0.050416
abolish	-0.052020	0.115034	0.028845	-0.048221	0.118842	0.017953	0.049936	0.118132	0.017953
abolition	-0.177020	0.190034	0.028845	-0.167382	0.200658	-0.000939	0.023529	0.260243	-0.000939
abominable	-0.380020	0.231034	-0.018155	-0.371459	0.241385	-0.043283	-0.091976	0.433346	-0.043283
abominate	-0.302020	0.288034	-0.134155	-0.368446	0.213088	0.104970	-0.109855	0.411206	0.104970
abomination	-0.422020	0.255034	0.017845	-0.393987	0.287401	-0.075080	-0.075368	0.481814	-0.075080
aboriginal	-0.052020	-0.072966	0.041845	-0.013889	-0.029218	-0.093459	-0.030481	-0.010840	-0.093459
abort	-0.347020	0.186034	-0.071155	-0.361751	0.170264	-0.015526	-0.135402	0.376191	-0.015526
abortion	-0.418020	0.270034	-0.217155	-0.505902	0.171745	0.096864	-0.236284	0.479169	0.096864
abortive	-0.410020	0.276034	-0.220155	-0.501332	0.173793	0.106025	-0.231605	0.477386	0.106025
abound	0.203980	-0.009966	0.180845	0.264722	0.057278	-0.032460	0.227688	-0.146685	-0.032460
abovementioned	0.040980	-0.201966	0.008845	0.069812	-0.168371	-0.096567	-0.069692	-0.168421	-0.096567
abracadabra	0.172980	0.132034	-0.066155	0.097836	0.045479	0.200228	0.101339	-0.037021	0.200228
abrasion	-0.094020	0.092034	-0.059155	-0.123425	0.058860	0.045947	-0.045654	0.128895	0.045947
abrasive	-0.108020	0.110034	0.092845	-0.065031	0.158343	-0.055628	0.065981	0.157950	-0.055628
abreast	0.134980	-0.119966	0.018845	0.143567	-0.110291	-0.013822	0.023530	-0.179504	-0.013822
abroad	0.176980	0.096034	0.060845	0.167805	0.083987	0.095049	0.178043	-0.059268	0.095049
abrogate	-0.173020	0.010034	0.093845	-0.105756	0.086749	-0.141893	-0.013440	0.136122	-0.141893
abrupt	-0.229020	0.319034	0.044845	-0.223855	0.324055	0.033481	0.070852	0.387431	0.033481
abruptly	-0.250020	0.308034	0.055845	-0.235054	0.324293	0.009870	0.063101	0.395518	0.009870
abscess	-0.346020	-0.048966	-0.151155	-0.364307	-0.067148	-0.088019	-0.305084	0.210123	-0.088019
absence	-0.347020	-0.264966	-0.234155	-0.372871	-0.290191	-0.149048	-0.468855	0.058464	-0.149048
absent	-0.323020	-0.278966	-0.384155	-0.422262	-0.386884	-0.041890	-0.572153	0.025016	-0.041890
absentee	-0.265020	-0.169966	-0.221155	-0.309977	-0.217844	-0.067022	-0.373226	0.065148	-0.067022
absenteeism	-0.096020	-0.226966	-0.143155	-0.117953	-0.249544	-0.071005	-0.259860	-0.093049	-0.071005
absinthe	-0.019020	0.010034	-0.038155	-0.036294	-0.009372	0.022654	-0.032290	0.019037	0.022654
absolute	0.025980	0.010034	0.326845	0.178284	0.181317	-0.207225	0.254276	0.002144	-0.207225
absolution	0.214980	0.000034	0.163845	0.264545	0.054558	-0.010042	0.225640	-0.148483	-0.010042
absolve	0.183980	-0.050966	0.159845	0.243461	0.015257	-0.049903	0.182941	-0.161365	-0.049903
absorb	-0.031020	0.058034	0.169845	0.046306	0.144901	-0.100185	0.135203	0.069717	-0.100185
absorbed	-0.010020	-0.028966	0.018845	0.004743	-0.012084	-0.033556	-0.005191	-0.011899	-0.033556
absorbent	0.051980	-0.105966	0.217845	0.165589	0.022376	-0.182938	0.132912	-0.101267	-0.182938
absorbing	-0.010020	-0.009966	0.077845	0.030309	0.035576	-0.063838	0.046587	0.003724	-0.063838
